onset	duration	trial_type	timestamp_lsl	marker	response_accuracy	difficulty_range	outcome	istutorial	dropped_samples	marker_stream
0.376748	0.064000	dropped_samples	6857.921475	Dropped 16 samples	n/a	n/a	n/a	n/a	16	UoHDataOffsetStream
1.211033	0.008000	dropped_samples	6858.755761	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
1.268193	0.008000	dropped_samples	6858.812921	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
1.328447	0.016000	dropped_samples	6858.873174	Dropped 4 samples	n/a	n/a	n/a	n/a	4	UoHDataOffsetStream
1.383413	0.036000	dropped_samples	6858.928141	Dropped 9 samples	n/a	n/a	n/a	n/a	9	UoHDataOffsetStream
2.326591	0.020000	dropped_samples	6859.871318	Dropped 5 samples	n/a	n/a	n/a	n/a	5	UoHDataOffsetStream
2.329056	0.036000	dropped_samples	6859.873784	Dropped 9 samples	n/a	n/a	n/a	n/a	9	UoHDataOffsetStream
2.442512	0.016000	dropped_samples	6859.987240	Dropped 4 samples	n/a	n/a	n/a	n/a	4	UoHDataOffsetStream
2.486109	0.012000	dropped_samples	6860.030837	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
2.931697	0.012000	dropped_samples	6860.476424	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
3.232463	0.008000	dropped_samples	6860.777191	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
3.282897	0.016000	dropped_samples	6860.827625	Dropped 4 samples	n/a	n/a	n/a	n/a	4	UoHDataOffsetStream
4.231875	0.024000	dropped_samples	6861.776602	Dropped 6 samples	n/a	n/a	n/a	n/a	6	UoHDataOffsetStream
5.245467	0.024000	dropped_samples	6862.790194	Dropped 6 samples	n/a	n/a	n/a	n/a	6	UoHDataOffsetStream
6.326725	0.012000	dropped_samples	6863.871452	Dropped 3 samples	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
6.347436	0.004000	dropped_samples	6863.892164	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
6.432657	0.032000	dropped_samples	6863.977385	Dropped 8 samples	n/a	n/a	n/a	n/a	8	UoHDataOffsetStream
7.212996	0.016000	dropped_samples	6864.757724	Dropped 4 samples	n/a	n/a	n/a	n/a	4	UoHDataOffsetStream
8.414122	0.024000	dropped_samples	6865.958849	Dropped 6 samples	n/a	n/a	n/a	n/a	6	UoHDataOffsetStream
9.136981	0.008000	dropped_samples	6866.681708	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
9.286465	0.008000	dropped_samples	6866.831192	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
9.326942	0.008000	dropped_samples	6866.871670	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
9.904074	0.004000	dropped_samples	6867.448802	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
10.367027	0.016000	dropped_samples	6867.911754	Dropped 4 samples	n/a	n/a	n/a	n/a	4	UoHDataOffsetStream
10.368426	0.016000	dropped_samples	6867.913153	Dropped 4 samples	n/a	n/a	n/a	n/a	4	UoHDataOffsetStream
10.406444	0.020000	dropped_samples	6867.951171	Dropped 5 samples	n/a	n/a	n/a	n/a	5	UoHDataOffsetStream
10.977988	0.004000	dropped_samples	6868.522716	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
11.273970	0.016000	dropped_samples	6868.818697	Dropped 4 samples	n/a	n/a	n/a	n/a	4	UoHDataOffsetStream
12.128565	0.016000	dropped_samples	6869.673292	Dropped 4 samples	n/a	n/a	n/a	n/a	4	UoHDataOffsetStream
13.255545	0.004000	dropped_samples	6870.800272	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
13.433434	0.032000	dropped_samples	6870.978161	Dropped 8 samples	n/a	n/a	n/a	n/a	8	UoHDataOffsetStream
13.770339	0.004000	dropped_samples	6871.315066	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
16.529231	0.004000	dropped_samples	6874.073959	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
17.920770	0.004000	dropped_samples	6875.465497	Dropped 1 samples	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
19.146330	0.008000	dropped_samples	6876.691058	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
19.576100	0.008000	dropped_samples	6877.120827	Dropped 2 samples	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
